Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
EF,Fertilizers,233,Burkina Faso,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2002,2002,tonnes of nutrients per 1000 ha,0.42,Fc,Calculated data
EF,Fertilizers,233,Burkina Faso,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2003,2003,tonnes of nutrients per 1000 ha,5.16,Fc,Calculated data
EF,Fertilizers,233,Burkina Faso,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2004,2004,tonnes of nutrients per 1000 ha,6.24,Fc,Calculated data
EF,Fertilizers,233,Burkina Faso,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2005,2005,tonnes of nutrients per 1000 ha,7.14,Fc,Calculated data
EF,Fertilizers,233,Burkina Faso,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2006,2006,tonnes of nutrients per 1000 ha,6.3,Fc,Calculated data
EF,Fertilizers,233,Burkina Faso,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2007,2007,tonnes of nutrients per 1000 ha,4.75,Fc,Calculated data
EF,Fertilizers,233,Burkina Faso,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2008,2008,tonnes of nutrients per 1000 ha,4.96,Fc,Calculated data
EF,Fertilizers,233,Burkina Faso,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2009,2009,tonnes of nutrients per 1000 ha,4.92,Fc,Calculated data
EF,Fertilizers,233,Burkina Faso,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2010,2010,tonnes of nutrients per 1000 ha,6.78,Fc,Calculated data
EF,Fertilizers,238,Ethiopia,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2002,2002,tonnes of nutrients per 1000 ha,9.51,Fc,Calculated data
EF,Fertilizers,238,Ethiopia,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2003,2003,tonnes of nutrients per 1000 ha,2.94,Fc,Calculated data
EF,Fertilizers,238,Ethiopia,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2004,2004,tonnes of nutrients per 1000 ha,7.05,Fc,Calculated data
EF,Fertilizers,238,Ethiopia,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2005,2005,tonnes of nutrients per 1000 ha,6.14,Fc,Calculated data
EF,Fertilizers,238,Ethiopia,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2006,2006,tonnes of nutrients per 1000 ha,6.18,Fc,Calculated data
EF,Fertilizers,238,Ethiopia,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2007,2007,tonnes of nutrients per 1000 ha,7.46,Fc,Calculated data
EF,Fertilizers,238,Ethiopia,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2008,2008,tonnes of nutrients per 1000 ha,7.41,Fc,Calculated data
EF,Fertilizers,238,Ethiopia,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2009,2009,tonnes of nutrients per 1000 ha,8.16,Fc,Calculated data
EF,Fertilizers,238,Ethiopia,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2010,2010,tonnes of nutrients per 1000 ha,10.42,Fc,Calculated data
EF,Fertilizers,81,Ghana,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2002,2002,tonnes of nutrients per 1000 ha,0.68,Fc,Calculated data
EF,Fertilizers,81,Ghana,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2003,2003,tonnes of nutrients per 1000 ha,1.31,Fc,Calculated data
EF,Fertilizers,81,Ghana,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2004,2004,tonnes of nutrients per 1000 ha,0.84,Fc,Calculated data
EF,Fertilizers,81,Ghana,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2005,2005,tonnes of nutrients per 1000 ha,1.63,Fc,Calculated data
EF,Fertilizers,81,Ghana,5159,Nutrient use on arable and permanent crop area,3102,Nitrogen Fertilizers (N total nutrients),2006,2006,tonnes of nutrients per 1000 ha,4.31,Fc,Calculated data
